 --> Category: RECO_VBFLIKEGGH_Tag0
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2017_hgg = 6.08%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2017_hgg = 4.75%
    * ggH_PTH_200_300_2017_hgg = 1.22%
    * WH_had_GE2J_MJJ_60_120_2017_hgg = 4.72%
    * ZH_had_GE2J_MJJ_60_120_2017_hgg = 3.52%
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2018_hgg = 9.92%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2018_hgg = 7.19%
    * ggH_PTH_200_300_2018_hgg = 2.42%
    * WH_had_GE2J_MJJ_60_120_2018_hgg = 5.37%
    * ZH_had_GE2J_MJJ_60_120_2018_hgg = 3.32%

 --> Category: RECO_WH_LEP_HIGH_Tag0
    * WH_lep_PTV_0_75_2016_hgg = 1.79%
    * WH_lep_PTV_75_150_2016_hgg = 16.98%
    * WH_lep_PTV_150_250_GE1J_2016_hgg = 3.28%
    * WH_lep_PTV_150_250_0J_2016_hgg = 9.12%
    * WH_lep_PTV_GT250_2016_hgg = 4.69%
    * WH_lep_PTV_75_150_2017_hgg = 12.39%
    * WH_lep_PTV_150_250_GE1J_2017_hgg = 2.27%
    * WH_lep_PTV_150_250_0J_2017_hgg = 6.51%
    * WH_lep_PTV_GT250_2017_hgg = 4.31%
    * WH_lep_PTV_0_75_2018_hgg = 1.49%
    * WH_lep_PTV_75_150_2018_hgg = 14.32%
    * WH_lep_PTV_150_250_GE1J_2018_hgg = 2.49%
    * WH_lep_PTV_150_250_0J_2018_hgg = 9.25%
    * WH_lep_PTV_GT250_2018_hgg = 5.48%

 --> Category: RECO_WH_LEP_HIGH_Tag1
    * WH_lep_PTV_0_75_2016_hgg = 4.87%
    * WH_lep_PTV_75_150_2016_hgg = 18.89%
    * WH_lep_PTV_150_250_GE1J_2016_hgg = 2.59%
    * ZH_lep_PTV_75_150_2016_hgg = 2.67%
    * WH_lep_PTV_150_250_0J_2016_hgg = 2.55%
    * WH_lep_PTV_GT250_2016_hgg = 1.13%
    * WH_lep_PTV_0_75_2017_hgg = 3.83%
    * WH_lep_PTV_75_150_2017_hgg = 15.30%
