# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain1EB_13TeVscale,Gain6EB_13TeVscale
photonCatScalesCorr=MaterialCentralBarrel_scale,MaterialOuterBarrel_scale,MaterialForward_scale,FNUFEE_scale,FNUFEB_scale,ShowerShapeHighR9EE_scale,ShowerShapeHighR9EB_scale,ShowerShapeLowR9EE_scale,ShowerShapeLowR9EB_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale:UntaggedTag_0:2,Geant4_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=GG2H
MaterialOuterBarrel_scale     0.0003528     0.002102     0.0001046    
MaterialForward_scale         0.0001708     0.00234     0.0001887    
FNUFEE_scale                  2.606e-05     0.001272     0.0001239    
FNUFEB_scale                  0.0002782     0.005589     0.0003095    
ShowerShapeHighR9EE_scale     1.837e-05     0.0004595     1.686e-05    
ShowerShapeHighR9EB_scale     0.0004356     0.0054     0.000364    
ShowerShapeLowR9EE_scale      2.97e-05     0.000416     0.0001377    
ShowerShapeLowR9EB_scale      1.965e-05     0.0003021     0.0001089    

diphotonCat=1
proc=TTH
HighR9EB_13TeVscale           0.0006977     0.01329     0.0008029    
HighR9EE_13TeVscale           7.652e-05     0.003701     0.0004482    
LowR9EB_13TeVscale            0.0007588     0.01252     0.0009546    
LowR9EE_13TeVscale            7.575e-06     0.000988     0.0001435    
Gain1EB_13TeVscale            1.422e-05     0.0007     9.008e-05    
Gain6EB_13TeVscale            3.611e-06     0.001016     0.0003833    
HighR9EBPhi_13TeVsmear        3.985e-05     0.0577     0.0004686    
HighR9EBRho_13TeVsmear        1.201e-05     0.02693     0.0008715    
HighR9EEPhi_13TeVsmear        2.916e-05     0.01206     0.0001489    
HighR9EERho_13TeVsmear        1.387e-05     0.001836     0.0002744    
LowR9EBPhi_13TeVsmear         6.175e-05     0.03176     0.001155    
LowR9EBRho_13TeVsmear         1.647e-05     0.01073     0.000742    
LowR9EEPhi_13TeVsmear         4.77e-06     0.0002722     9.695e-06    
LowR9EERho_13TeVsmear         1.868e-06     0.001459     0.000128    
MaterialCentralBarrel_scale   0.0002134     0.0008219     0.0002081    
MaterialOuterBarrel_scale     0.0003114     0.009724     0.0009352    
MaterialForward_scale         0.000142     0.007874     0.0008717    
FNUFEE_scale                  5.044e-05     0.002348     0.0002152    
FNUFEB_scale                  0.0002967     0.006808     0.0006054    
ShowerShapeHighR9EE_scale     2.38e-05     0.001439     0.0001016    
ShowerShapeHighR9EB_scale     0.0004191     0.009673     0.0009921    
ShowerShapeLowR9EE_scale      1.374e-05     0.001249     0.0001318    
ShowerShapeLowR9EB_scale      1.175e-05     0.0001394     0.0001732    

diphotonCat=1
proc=QQ2HLL
HighR9EB_13TeVscale           0.0008283     0.02462     0.0004715    
HighR9EE_13TeVscale           5.251e-05     0.004621     0.001402    
LowR9EB_13TeVscale            0.0005748     0.000694     0.00271    
LowR9EE_13TeVscale            2.002e-05     0.001302     6.094e-08    
Gain1EB_13TeVscale            2.452e-05     0.001118     6.173e-08    
Gain6EB_13TeVscale            2.558e-05     0.0006506     0.0004174    
HighR9EBPhi_13TeVsmear        5.98e-05     0.0206     0.0009294    
HighR9EBRho_13TeVsmear        3.433e-05     0.02438     0.002657    
HighR9EEPhi_13TeVsmear        8.561e-05     0.02061     6.968e-05    
HighR9EERho_13TeVsmear        2.719e-05     0.001307     0.0008702    
LowR9EBPhi_13TeVsmear         0.0003609     0.01749     0.00106    
LowR9EBRho_13TeVsmear         3.388e-05     0.008706     0.001427    
LowR9EEPhi_13TeVsmear         6.634e-07     0.005165     0.0009463    
LowR9EERho_13TeVsmear         2.031e-05     7.391e-06     5.815e-08    
MaterialCentralBarrel_scale   0.0002326     0.01002     0.0006024    
MaterialOuterBarrel_scale     0.0003379     0.003697     0.002822    
MaterialForward_scale         9.142e-05     0.003533     0.0007921    
FNUFEE_scale                  2.716e-05     0.0026     0.0003985    
FNUFEB_scale                  0.0003427     0.01426     0.0006912    
ShowerShapeHighR9EE_scale     2.675e-05     0.0007     4.461e-08    
ShowerShapeHighR9EB_scale     0.0004583     0.009693     0.001954    
ShowerShapeLowR9EE_scale      2.043e-05     0.0002749     6.412e-08    
ShowerShapeLowR9EB_scale      2.138e-05     0.003368     0.0004757    

diphotonCat=1
proc=QQ2HLNU
HighR9EB_13TeVscale           0.0007067     0.01667     0.001938    
HighR9EE_13TeVscale           7.262e-05     0.004258     0.0008721    
LowR9EB_13TeVscale            0.0008265     0.005575     0.0008776    
LowR9EE_13TeVscale            3.204e-05     0.001483     0.000869    
Gain1EB_13TeVscale            4.541e-05     0.0007191     7.707e-08    
Gain6EB_13TeVscale            3.279e-05     0.0007151     0.0003164    
HighR9EBPhi_13TeVsmear        0.0001024     0.04028     0.0001073    
